,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,East London,-33.0153,27.9116,72.54,73,0,9.22,ZA,1645462562
1,Punta Arenas,-53.15,-70.9167,62.71,45,0,17.27,CL,1645462427
2,Hobart,-42.8794,147.3294,49.86,72,75,5.75,AU,1645462562
3,Esperance,-33.8667,121.9,62.44,70,0,15.82,AU,1645462562
4,Dunedin,-45.8742,170.5036,58.8,81,1,1.01,NZ,1645462563
5,Mar del Plata,-38.0023,-57.5575,69.82,89,75,20.0,AR,1645462563
6,Āsosa,10.0667,34.5333,73.0,24,92,3.42,ET,1645462563
7,Gram,55.2895,9.0491,42.84,81,75,13.8,DK,1645462564
8,Dalbandin,28.8947,64.4101,72.66,22,22,19.44,PK,1645462564
9,Honiara,-9.4333,159.95,78.37,86,100,2.77,SB,1645462564
10,Payakumbuh,-0.2202,100.6308,71.1,96,100,0.34,ID,1645462565
11,Rikitea,-23.1203,-134.9692,76.12,75,16,9.82,PF,1645462565
12,George Town,5.4112,100.3354,84.13,92,40,3.44,MY,1645462565
13,Kapaa,22.0752,-159.319,64.38,70,35,9.89,US,1645462470
14,Peniche,39.3558,-9.3811,69.75,69,32,13.85,PT,1645462566
15,Ponta do Sol,32.6667,-17.1,66.13,54,56,11.3,PT,1645462566
16,Gravelbourg,49.8834,-106.5512,-9.13,90,100,6.35,CA,1645462566
17,Darhan,49.4867,105.9228,-5.39,96,10,6.02,MN,1645462567
18,Hermanus,-34.4187,19.2345,70.9,79,4,11.25,ZA,1645462567
19,Nemuro,43.3236,145.575,22.62,79,100,34.27,JP,1645462567
20,Arraial do Cabo,-22.9661,-42.0278,87.76,70,40,12.66,BR,1645462568
21,Hong Kong,22.2855,114.1577,52.25,92,100,10.0,HK,1645461785
22,Qaanaaq,77.484,-69.3632,-8.72,60,93,7.63,GL,1645462568
23,Tautira,-17.7333,-149.15,75.22,75,61,19.73,PF,1645462568
24,Puerto Ayora,-0.7393,-90.3518,84.16,87,79,7.0,EC,1645462569
25,Avarua,-21.2078,-159.775,77.05,88,40,9.22,CK,1645462569
26,Ushuaia,-54.8,-68.3,60.46,44,20,11.5,AR,1645462499
27,Ayr,55.4627,-4.6339,48.15,71,20,17.27,GB,1645462569
28,Tasiilaq,65.6145,-37.6368,23.76,88,100,32.23,GL,1645462570
29,Juneau,58.3019,-134.4197,5.56,82,10,8.52,US,1645462570
30,Port Elizabeth,-33.918,25.5701,72.1,77,20,12.66,ZA,1645462321
31,Kahului,20.8947,-156.47,75.85,86,0,3.0,US,1645462315
32,Hilo,19.7297,-155.09,70.79,89,100,8.05,US,1645462571
33,Busselton,-33.65,115.3333,64.09,75,1,10.2,AU,1645462571
34,Urla,38.3229,26.764,62.2,90,59,10.07,TR,1645462571
35,Sørland,67.667,12.6934,15.87,56,100,9.26,NO,1645462572
36,Rawson,-43.3002,-65.1023,55.67,59,97,17.92,AR,1645462572
37,Lebu,-37.6167,-73.65,66.11,56,16,7.94,CL,1645462572
38,Najrān,17.4924,44.1277,66.85,21,55,7.07,SA,1645462572
39,Albany,42.6001,-73.9662,50.81,44,71,3.24,US,1645462319
40,Lata,40.1629,-8.3327,68.36,44,39,6.46,PT,1645462573
41,Bluff,-46.6,168.3333,59.76,66,98,17.47,NZ,1645462573
42,Puerto del Rosario,28.5004,-13.8627,65.95,55,20,8.05,ES,1645462574
43,Butaritari,3.0707,172.7902,81.63,80,88,21.34,KI,1645462574
44,Leningradskiy,69.3833,178.4167,-33.52,98,61,3.38,RU,1645462574
45,Touros,-5.1989,-35.4608,88.7,58,83,14.72,BR,1645462575
46,Thompson,55.7435,-97.8558,-27.24,68,0,8.05,CA,1645462575
47,Taoudenni,22.6783,-3.9836,93.83,7,100,3.74,ML,1645462575
48,Sayyan,15.1718,44.3244,56.62,25,79,6.89,YE,1645462575
49,Road Town,18.4167,-64.6167,84.29,65,40,11.5,VG,1645462332
50,Toamasina,-18.1667,49.3833,80.6,83,75,21.85,MG,1645462576
51,San-Pédro,4.7485,-6.6363,82.51,77,100,10.78,CI,1645462576
52,Faanui,-16.4833,-151.75,80.64,77,82,19.13,PF,1645462577
53,Jamestown,42.097,-79.2353,52.09,42,0,5.75,US,1645462447
54,Auray,47.6703,-2.9918,52.88,67,6,18.41,FR,1645462577
55,Zyryanskoye,56.8306,86.6258,14.23,92,10,7.47,RU,1645462577
56,Ambunti,-4.2365,142.8448,71.87,98,100,1.83,PG,1645462578
57,Bambous Virieux,-20.3428,57.7575,81.21,94,40,23.02,MU,1645462578
58,Mataura,-46.1927,168.8643,51.96,76,81,3.6,NZ,1645462578
59,Sisimiut,66.9395,-53.6735,-9.87,98,98,4.63,GL,1645462579
